렌트카 수요 2020.08 ~ 2022.09,
,
날짜,수요
2020-08-23,42
2020-08-30,40
2020-09-06,50
2020-09-13,63
2020-09-20,61
2020-09-27,47
2020-10-04,72
2020-10-11,59
2020-10-18,81
2020-10-25,76
2020-11-01,64
2020-11-08,67
2020-11-15,62
2020-11-22,57
2020-11-29,46
2020-12-06,54
2020-12-13,35
2020-12-20,24
2020-12-27,32
2021-01-03,32
2021-01-10,39
2021-01-17,39
2021-01-24,44
2021-01-31,50
2021-02-07,57
2021-02-14,63
2021-02-21,63
2021-02-28,49
2021-03-07,48
2021-03-14,56
2021-03-21,56
2021-03-28,67
2021-04-04,70
2021-04-11,76
2021-04-18,63
2021-04-25,74
2021-05-02,72
2021-05-09,61
2021-05-16,62
2021-05-23,69
2021-05-30,72
2021-06-06,64
2021-06-13,72
2021-06-20,90
2021-06-27,95
2021-07-04,63
2021-07-11,63
2021-07-18,64
2021-07-25,59
2021-08-01,70
2021-08-08,58
2021-08-15,58
2021-08-22,57
2021-08-29,60
2021-09-05,57
2021-09-12,79
2021-09-19,63
2021-09-26,63
2021-10-03,61
2021-10-10,63
2021-10-17,70
2021-10-24,76
2021-10-31,78
2021-11-07,62
2021-11-14,62
2021-11-21,58
2021-11-28,59
2021-12-05,58
2021-12-12,53
2021-12-19,59
2021-12-26,60
2022-01-02,80
2022-01-09,83
2022-01-16,76
2022-01-23,68
2022-01-30,78
2022-02-06,62
2022-02-13,69
2022-02-20,57
2022-02-27,73
2022-03-06,62
2022-03-13,69
2022-03-20,68
2022-03-27,73
2022-04-03,82
2022-04-10,84
2022-04-17,100
2022-04-24,89
2022-05-01,94
2022-05-08,79
2022-05-15,75
2022-05-22,86
2022-05-29,89
2022-06-05,89
2022-06-12,96
2022-06-19,83
2022-06-26,87
2022-07-03,96
2022-07-10,74
2022-07-17,91
2022-07-24,90
2022-07-31,78
2022-08-07,77
2022-08-14,74
2022-08-21,68
2022-08-28,67
2022-09-04,65
2022-09-11,61
2022-09-18,67
2022-09-25,70
2022-10-02,80
2022-10-09,72
2022-10-16,71
2022-10-23,67
2022-10-30,59
2022-11-06,79
2022-11-13,63
2022-11-20,68
2022-11-27,67
2022-12-04,46
