,업체명,소재지도로명주소,위도,경도,차고지도로명주소,자동차총보유대수
0,㈜디디렌트카,서울특별시 노원구 동일로250길 69(상계동),37.682855666,127.0590885081,"서울특별시 노원구 상계동 1227, 1229, 1230",60
1,인천공항렌트카㈜,서울특별시 노원구 동일로 178길 10 201호(공릉동),37.621287,127.075141,서울특별시 양천구 목동서로 225,66
2,㈜엠씨렌트카,경기도 안양시 동안구 경수대로 483,37.36602466,126.9578475,"경기도 안양시 동안구 관평로170번길 43, 4~6층,8층",60
3,뱅카㈜,"경기도 안양시 동안구 관평로 175, 3층",37.39222288,126.9594955,"경기도 안양시 동안구 관평로 175, 지하3층",15
4,㈜트러스트에스씨,"경기도 안양시 동안구 안양판교로 20, 306-C27호",37.40024445,126.9780578,"경기도 안양시 동안구 관평로170번길 33, 6층",50
5,㈜뉴드림렌트카,경기도 안양시 만안구 만안로 108(안양동),37.39266828,126.931430055,경기도 안양시 동안구 관양동 1307-376,52
6,케이네트웍스,"인천광역시 부평구 항동로 158, 103호 (일신동)",37.48106393,126.7509538,인천광역시 남동구 인하로507번길 98,75
7,(유)투어렌트카,광주광역시 북구 설죽로171번길 34(용봉동),35.1753752,126.8941302,광주광역시 동구 경양로277번길 20(계림동),62
8,㈜오션렌트카,광주광역시 북구 경열로 256(중흥동),35.1620575,126.9082179,광주광역시 북구 동문대로 280(각화동),97
9,㈜신우렌트카,경상남도 진주시 대신로106번길 13,35.16982132,128.1195251,경상남도 진주시 대신로106번길 13,53
10,백두산렌트카,"서울특별시 영등포구 당산로 109-2, 2층",37.524619,126.8959278,서울특별시 동작구 신대방1가길 38 G-PARK 동작상떼빌,50
11,(주)칸렌트카,"서울특별시 영등포구 영중로 159, 9층(영등포동8가, 우송빌딩)",37.530549,126.9054231,서울특별시 강동구 고덕비즈밸리로2가길 6(고덕동),55
12,㈜인렌트카,"서울특별시 영등포구 시흥대로 607, 108호(대림동, 무림빌딩)",37.486943,126.904333,서울특별시 마포구 와우산로 94,69
13,스마트스카이 주식회사,"서울특별시 영등포구 양평로 30길 14, 10층 19호",37.5412063291,126.8893643451,"서울특별시 강서구 마곡중앙6로 16(마곡동, 마곡지엠타워)",52
14,주식회사남산렌터카,"서울특별시 영등포구 도영로 16, 316호(도림동,하나아파텔)",37.50787834,126.8959919,서울특별시 영등포구 도영로 16(하나아파텔주차장),50
15,㈜에이에이렌터카,"서울특별시 영등포구 문래로 191, 205호(영등포동4가,대성그랑그루)",37.51847671,126.9032529,"서울특별시 영등포구 문래로 191, 대성그랑그루 기계식주차장",63
16,오토플러스㈜,"서울특별시 영등포구 선유동2로 57, 11층 (양평동4가, 이레빌딩신관)",37.53382439,126.8968836,서울특별시 도봉구 도봉산길 42(도봉동),422
17,카렌디피티,서울특별시 영등포구 국회대로28길 17 한얼빌딩 406-9호,37.527157,126.8942787293,서울특별시 양천구 신정로 167(신정동),50
18,(주)오케이렌트카,경상북도 영천시 장수로 66,35.96634671,128.9175394,경상북도 영천시 천문로 588,7
19,(주)경일알씨,경상북도 영천시 최무선로 323,35.96880195,128.9342883,경상북도 영천시 최무선로 323,2
20,(주)새한글로벌,경상북도 영천시 담안3길 39,35.96193766,128.9265529,경상북도 영천시 담안3길 39,16
21,(주)인스렌터카,경상북도 영천시 금호읍 고수골길 26,35.95328529,128.9045546,경상북도 영천시 금호읍 고수골길 26,5
