"차종별(1)","차종별(2)",연료별(1),연료별(2),2021. 03,2021. 04,2021. 05,2021. 06,2021. 07,2021. 08,2021. 09,2021. 10,2021. 11,2021. 12
"계","소계",계,소계,3158710,3159075,3160629,3162985,3171767,3171749,3175142,3173961,3177236,3176743
"계","소계",계,휘발유,1636698,1638511,1639303,1640427,1645752,1645085,1646093,1645282,1646122,1646141
"계","소계",계,경유,1103183,1099842,1098086,1096347,1097562,1095411,1093923,1090545,1088003,1084741
"계","소계",계,LPG,255058,253828,252577,251488,250361,248869,247928,246873,245825,245041
"계","소계",계,전기,24918,25581,27013,28752,29325,31220,33434,35067,38840,40564
"계","소계",계,CNG,9073,9057,9055,9047,9031,9020,9012,9008,8977,8887
"계","소계",계,하이브리드,121605,123833,125997,128223,130930,133203,135667,137938,140097,141889
"계","소계",계,기타,6478,6536,6584,6664,6753,6832,6888,6963,6989,7035
"계","소계",계,수소,1697,1887,2014,2037,2053,2109,2197,2285,2383,2445
"계","승용차",계,소계,2715453,2717185,2719601,2722462,2731730,2732495,2736668,2736546,2739979,2740044
"계","승용차",계,휘발유,1633040,1634823,1635565,1636698,1641955,1641258,1642211,1641336,1642173,1642186
"계","승용차",계,경유,719443,717677,716694,715532,717344,715975,715306,713082,710906,708501
"계","승용차",계,LPG,217340,216355,215460,214568,213698,212462,211728,210852,209953,209333
"계","승용차",계,전기,21793,22084,23347,24884,25242,26990,29069,30567,33999,35227
"계","승용차",계,CNG,432,430,432,428,418,410,404,401,387,384
"계","승용차",계,하이브리드,121552,123777,125941,128168,130875,133147,135609,137881,140040,141832
"계","승용차",계,기타,165,161,157,156,154,153,153,151,147,145
"계","승용차",계,수소,1688,1878,2005,2028,2044,2100,2188,2276,2374,2436
"계","승합차",계,소계,104813,104101,103662,103178,102687,102172,101720,101314,100885,100403
"계","승합차",계,휘발유,1097,1113,1166,1137,1174,1151,1138,1179,1157,1135
"계","승합차",계,경유,80041,79392,79053,78627,78173,77771,77436,77070,76745,76372
"계","승합차",계,LPG,13636,13563,13421,13382,13306,13213,13117,13040,12941,12872
"계","승합차",계,전기,390,395,395,404,405,405,405,408,438,524
"계","승합차",계,CNG,8250,8248,8247,8246,8244,8243,8243,8239,8222,8134
"계","승합차",계,하이브리드,52,52,52,52,52,52,52,52,52,52
"계","승합차",계,기타,1338,1329,1319,1321,1324,1328,1320,1317,1321,1305
"계","승합차",계,수소,9,9,9,9,9,9,9,9,9,9
"계","화물차",계,소계,329319,328589,328049,327888,327781,327451,327058,326376,326576,326425
"계","화물차",계,휘발유,2544,2557,2554,2575,2605,2658,2725,2748,2772,2798
"계","화물차",계,경유,295074,294097,293576,293326,293108,292696,292173,291397,291306,290800
"계","화물차",계,LPG,23982,23810,23594,23435,23254,23090,22978,22874,22822,22718
"계","화물차",계,전기,2715,3082,3251,3444,3657,3804,3937,4067,4378,4787
"계","화물차",계,CNG,390,378,375,372,368,366,364,367,367,368
"계","화물차",계,하이브리드,1,4,4,3,3,4,6,5,5,5
"계","화물차",계,기타,4613,4661,4695,4733,4786,4833,4875,4918,4926,4949
"계","화물차",계,수소,-,-,-,-,-,-,-,-,-,-
"계","특수차",계,소계,9125,9200,9317,9457,9569,9631,9696,9725,9796,9871
"계","특수차",계,휘발유,17,18,18,17,18,18,19,19,20,22
"계","특수차",계,경유,8625,8676,8763,8862,8937,8969,9008,8996,9046,9068
"계","특수차",계,LPG,100,100,102,103,103,104,105,107,109,118
"계","특수차",계,전기,20,20,20,20,21,21,23,25,25,26
"계","특수차",계,CNG,1,1,1,1,1,1,1,1,1,1
"계","특수차",계,하이브리드,-,-,-,-,-,-,-,-,-,-
"계","특수차",계,기타,362,385,413,454,489,518,540,577,595,636
"계","특수차",계,수소,-,-,-,-,-,-,-,-,-
